ano,barrio,titulo,id,descripcion,direccion,longlat,presupuesto,tema,temaResumen,temaScrolli,subtema,beneficiarios,obrasOCampana,votos,estado
2014,VILLA MARTELLI,Reducidores de velocidad,117,Reducidores de velocidad,Méjico 3600 y EE UU al 100 hasta Méjico 5300 y Av de los Constituyentes 0 - 100,"-34.5487391,-58.5034557",23860,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,77,FINALIZADO
2014,VILLA MARTELLI,Reparación y bacheo,118,Reparación y bacheo (prioridad por nivel de deterioro),Echeverria 200 y Laprida 3100 al 5300 hasta Constituyentes 300,"-34.5288912,-58.5101302",997899,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,132,FINALIZADO
2015,CARAPACHAY,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,119,Compra e instalación de 16 cámaras fijas y domo,Ubicación random dentro del barrio,"-34.526440, -58.530548",1004580,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,277,FINALIZADO
2015,CARAPACHAY,Mejoramiento de iluminación,120,Mejoramiento de iluminación ,Acassuso y vías FFCC y calles paralelas a la estación,"-34.52911053,-58.54047952",87717,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,160,FINALIZADO
2015,CARAPACHAY,Mejoramiento de iluminación,121,Mejoramiento de iluminación,Independencia y Ascasubi hasta Ascasubi y V Sársfield,"-34.530836,-58.5387007",40438,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,68,FINALIZADO
2015,CARAPACHAY,Mejoraramiento de iluminación ,122,Mejoramiento de iluminación,Rafael Obligado y Alfredo Guido,"-34.523785,-58.5425498",24787,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,43,FINALIZADO
2015,CARAPACHAY,"Plaza DF Sarmiento ""Vida Saludable en la Plaza""",123,"Actividades deportivas guiadas (en coordinación con Salud para prevención de obesidad, diabetes, asma, cardiacos, hipertensión. Mediante el desarrollo de actividad física adaptada a la salud y supervisada por médicos)",Mendoza y Lope de Vega,"-34.531922, -58.534101",43740,DEPORTE,OTROS,otros,DEPORTES Y RECREACIÓN,POBLACIÓN EN GENERAL,2,51,FINALIZADO
2015,CARAPACHAY,Plaza José Ingenieros,124,Creación de una Biblioteca Infantil,Dr José Ingenieros y Cosme Argerich,"-34.53102774,-58.5447413",396788,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,NIÑOS,1,56,FINALIZADO
2015,CARAPACHAY,Reducidores de velocidad,125,Reducidores de velocidad,Acassuso y Armenia,"-34.5247076,-58.5258069",6520,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,5,FINALIZADO
2015,CARAPACHAY,Reducidores de velocidad,126,Reducidores de velocidad,Borges y G Méndez,"-34.5248639,-58.5328333",6520,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,10,FINALIZADO
2015,CARAPACHAY,Reducidores de velocidad,127,Reducidores de velocidad,Navarro y Esquiú y Navarro y Mendoza,"-34.5257263,-58.4717903",13040,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,15,FINALIZADO
2015,CARAPACHAY,Reducidores de velocidad,128,Reducidores de velocidad,Derqui y Av Mitre hasta Derqui y Washington,"-34.52496651,-58.53686416",13040,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,16,FINALIZADO
2015,CARAPACHAY,Reducidores de velocidad,129,Reducidores de velocidad,C Tejedor y M Garcia hasta C Tejedor y Albarellos,"-34.526747,-58.5296492",58680,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,16,FINALIZADO
2015,CARAPACHAY,UAP Burman y UAP 25 de Mayo.,130,Adquirir 2 desfibriladores automáticos para las UAPS,Ituzaingó 5725/ Rafael Obligado 5280,"-34.52784915,-58.53729097",59320,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA SANITARIA,SANITARIA,POBLACIÓN EN GENERAL,1,255,FINALIZADO
2015,FLORIDA ESTE,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,131,Compra e instalación de 24 cámaras fijas y domo,Ubicación random dentro del barrio,"-34.530554, -58.480305",1385021,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,404,FINALIZADO
2015,FLORIDA ESTE,Escuela Primaria Nº 3,132,Reemplazo de caldera y bombas,Av Gral José de San Martín 2301,"-34.5296328,-58.4983468",209500,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,NIÑOS,1,437,FINALIZADO
2015,FLORIDA ESTE,Jardín de Infantes Nº 911,133,Cambio de puertas de entrada y rejas,R de Escalada de San Martín 1510,"-34.5078112,-58.4971885",174830,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,NIÑOS,1,428,FINALIZADO
2015,FLORIDA OESTE,Barrio Las Flores,134,Ampliación de red cloacal (Etapa 1),Melo y Berutti,"-34.5493077,-58.5241723",688000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA SANITARIA,SANITARIA,POBLACIÓN VULNERABLE,1,286,FINALIZADO
2015,FLORIDA OESTE,Escuela Primaria Nº 14,135,"Puesta en valor: sala de informática, armado de la red y capacitación docente",Julio Argentino Roca 3990,"-34.5411364,-58.514051",65420,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,NIÑOS,1,87,FINALIZADO
2015,FLORIDA OESTE,Escuela Primaria Nº 17,136,"Adquisición de computadoras y equipos para la sala de informática, armado de la red y capacitación docente",Gervasio Mendez 2050,"-34.536366,-58.52168832",121130,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,NIÑOS,1,385,FINALIZADO
2015,FLORIDA OESTE,Sociedad de Fomento Hipólito Yrigoyen,137,Construcción de un SUM (100 metros cuadrados),Hipólito Yrigoyen 4567,"-34.53911502,-58.52236661",3480000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EN DEPORTES Y RECREACIÓN,DEPORTES Y RECREACIÓN,POBLACIÓN EN GENERAL,1,353,FINALIZADO
2015,FLORIDA OESTE,"UAPs Bermúdez,Blanca Acosta y URI R Carrillo",138,Adquirir 3 desfibriladores automáticos para las UAPs,Pres Hipólito Yrigoyen 4601/ M Sánchez de Thompson 1141/ Florentino Ameghino 946,"-34.543854,-58.514023",88980,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA SANITARIA,SANITARIA,POBLACIÓN EN GENERAL,1,360,FINALIZADO
2015,LA LUCILA,Barrio El Ceibo,139,Puesta en valor de la cancha de futbol y vóley,Alte Brown 3800,"-34.49392277,-58.48089843",178698,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EN DEPORTES Y RECREACIÓN,DEPORTES Y RECREACIÓN,POBLACIÓN VULNERABLE,1,269,FINALIZADO
2015,LA LUCILA,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,140,Compra e instalación de 14 cámaras fijas y domo,Ubicación random dentro del barrio,"-34.496585, -58.493780",788326,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,162,FINALIZADO
2015,LA LUCILA,Campañas de comunicación y difusión para fortalecer la conciencia ambiental,141,Campañas de comunicación y difusión para fortalecer la conciencia ambiental,Ubicación random dentro del barrio,"-34.500900, -58.493437",35400,AMBIENTE,AMBIENTE,AMBIENTE,RECICLADO,POBLACIÓN EN GENERAL,2,33,FINALIZADO
2015,LA LUCILA,Demarcación y señalización prohibición de estacionar en esquinas donde doblan colectivos,142,Demarcación y señalización prohibición de estacionar en esquinas donde doblan colectivos,Ubicación random dentro del barrio,"-34.502102, -58.486441",60000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,18,FINALIZADO
2015,LA LUCILA,Escuela Primaria Nº 16 “Marcelino Ugarte”,143,Puesta en valor de la fachada del edificio,Dr Tomás Anchorena 901,"-34.49955308,-58.49057007",310000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,NIÑOS,1,253,FINALIZADO
2015,LA LUCILA,Mejoramiento de iluminación,144,Mejoramiento de iluminación,"Zona comprendida entre Paraná, Elflein y Libertador ","-34.4980634,-58.4896101",125169,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,32,FINALIZADO
2015,LA LUCILA,Plantación de especies autóctonas en el barrio,145,Plantación de especies autóctonas en el barrio,Ubicación random dentro del barrio,"-34.502845, -58.493308",71376,AMBIENTE,AMBIENTE,AMBIENTE,ARBOLADO,POBLACIÓN EN GENERAL,1,46,FINALIZADO
2015,LA LUCILA,Reducidores de velocidad,146,Reducidores de velocidad,Mariano Moreno y Wineberg,"-34.49721654,-58.49332299",7050,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,5,FINALIZADO
2015,LA LUCILA,UAP El Ceibo y la UAP Arcuri,147,Adquirir 2 desfibriladores automáticos para las UAPS,Bermúdez y el Rio/ Tucumán 3339,"-34.5032404,-58.4949422",59320,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA SANITARIA,SANITARIA,POBLACIÓN EN GENERAL,1,141,FINALIZADO
2015,MUNRO,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,148,Compra e instalación de 9 cámaras fijas y domo,Ubicación random dentro del barrio,"-34.530815, -58.518429",485644,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,367,FINALIZADO
2015,MUNRO,Campaña de concientización y primeros auxilios,149,RCP (Resucitación Cardiopulmonar) y primeros auxilios para comunidad,Ubicación random dentro del barrio,"-34.529188, -58.514739",38950,EDUCACIÓN,EDUCACIÓN,EDUCACIÓN,SALUD,POBLACIÓN EN GENERAL,2,86,FINALIZADO
2015,MUNRO,Escuela Primaria Nº 19,150,Reemplazo total del piso del escenario del salón de actos,ARMENIA 2449,"-34.5300931,-58.5217481",125900,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,NIÑOS,1,385,FINALIZADO
2015,MUNRO,"Jardín Maternal Municipal Nº 15 ""San Juan Macías""",151,Construcción de un Salón de Usos Múltiples,Panamá 3948,"-34.51409125,-58.52617431",1142959,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,NIÑOS,1,728,FINALIZADO
2015,MUNRO,Mejorar seguridad vial,152,Mejorar seguridad vial en 5 esquinas,Villate y la vía FFCC Belgrano,"-34.5325459,-58.5231044",100,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,243,FINALIZADO
2015,MUNRO,Polideportivo de Munro,153,Adquirir un desfibrilador automático y un equipo de audio para el Polideportivo de Munro,José Hernández y la via,"-34.53055753,-58.52647431",48630,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA SANITARIA,SANITARIA,POBLACIÓN EN GENERAL,1,72,FINALIZADO
2015,MUNRO,UAPS: Paul Harris - Padre Barbero - Marzano - Sgto Cabral- Negrete- Barreiro Aguirre,154,Adquirir 6 desfibriladores automáticos para todas las UAPs de Munro,Sargento Cabral 2880/ Sivori 5050/ Villate 3675/ Sgto Cabral 3221/ Rivera 6001/ Sgto Baigorria 2461,"-34.5310456,-58.5263066",177960,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA SANITARIA,SANITARIA,POBLACIÓN EN GENERAL,1,339,FINALIZADO
2015,OLIVOS,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,155,Compra e instalación de 32 cámaras fijas y domo,Ubicación random dentro del barrio,"-34.504341, -58.502798",1636724,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,389,FINALIZADO
2015,OLIVOS,Mejoramiento de iluminación,156,Mejoramiento de iluminación,R S Peña y O'Higgins hasta Ayacucho,"-34.5160907,-58.5052981",48381,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,149,FINALIZADO
